Shapekey,Value
Basis,0
viseme_sil,1
viseme_PP,1
viseme_FF,1
viseme_TH,1
viseme_DD,1
viseme_kk,1
viseme_CH,1
viseme_SS,1
viseme_nn,1
viseme_RR,1
mouthOpen,1
viseme_aa,1
viseme_E,1
viseme_I,1
viseme_O,1
viseme_U,1
mouthSmile,1
browDownLeft,1
browDownRight,1
browInnerUp,1
browOuterUpLeft,1
browOuterUpRight,1
eyeSquintLeft,1
eyeSquintRight,1
eyeWideLeft,1
eyeWideRight,1
jawForward,1
jawLeft,1
jawRight,1
mouthFrownLeft,1
mouthFrownRight,1
mouthPucker,1
mouthShrugLower,1
mouthShrugUpper,1
noseSneerLeft,1
noseSneerRight,1
mouthLowerDownLeft,1
mouthLowerDownRight,1
mouthLeft,1
mouthRight,1
eyeLookDownLeft,1
eyeLookDownRight,1
eyeLookUpLeft,1
eyeLookUpRight,1
eyeLookInLeft,1
eyeLookInRight,1
eyeLookOutLeft,1
eyeLookOutRight,1
cheekPuff,1
cheekSquintLeft,1
cheekSquintRight,1
jawOpen,1
mouthClose,1
mouthFunnel,1
mouthDimpleLeft,1
mouthDimpleRight,1
mouthStretchLeft,1
mouthStretchRight,1
mouthRollLower,1
mouthRollUpper,1
mouthPressLeft,1
mouthPressRight,1
mouthUpperUpLeft,1
mouthUpperUpRight,1
mouthSmileLeft,1
mouthSmileRight,1
tongueOut,1
eyeBlinkLeft,1
eyeBlinkRight,1
eyesClosed,1
eyesLookUp,1
eyesLookDown,1
